feature_name,mean_abs_shap,rank
21_swa,0.08065023871945591,1
weight_reinforcement,0.0584072630492576,2
21_swg,0.05673750563546501,3
degree_reinforcement,0.03705175413009511,4
21_swh,0.030760352522425184,5
7_swa,0.024925127167783508,6
17_swg,0.021803860889969207,7
7_swg,0.013571475962524851,8
degree_balance,0.01186650540331872,9
19_swg,0.010512700771929763,10
23_swg,0.009753780249517122,11
17_swh,0.007502432749060295,12
9_swg,0.007355320254141553,13
22_swg,0.007138407924321115,14
4_swh,0.007066855532795566,15
22_swa,0.006298204495830658,16
23_swa,0.006227808009948407,17
23_swh,0.005882536467727059,18
17_swa,0.005460927383598963,19
18_swa,0.005253978841760584,20
9_swa,0.005207417081453722,21
hcn,0.004307106287814343,22
4_swg,0.004158868234601329,23
timescale_density_balance,0.003960904379991508,24
lifetime_one_edge,0.003942919533336318,25
1_swh,0.0038360713382690668,26
1_swg,0.0036567186646921717,27
22_swh,0.0025792569702051964,28
10_swa,0.0022859207101672075,29
5_swa,0.002173700540366334,30
19_swh,0.002053510288786727,31
7_swh,0.0018240568501074613,32
10_swg,0.0017627761263114842,33
6_swa,0.0016254192494911286,34
24_swa,0.0015217399554595485,35
20_swa,0.0014125420830806209,36
0_swa,0.0011293935164515634,37
pairwise_timescale_density,0.001057228012032291,38
3_swa,0.0009289330740848109,39
9_swh,0.0009244987012086772,40
13_swa,0.000834847954316198,41
5_swg,0.0008217926001476355,42
24_swg,0.0006554144017791675,43
18_swh,0.0005765907604678136,44
1_swa,0.0005693964242231774,45
20_swg,0.00042417335330672054,46
4_swa,0.00018084558642287324,47
weight_balance,0.00017608365911328186,48
lifetime_two_edges,0.00010848904904429415,49
