feature_name,mean_abs_shap,rank
weight_reinforcement,1.2280608,1
degree_reinforcement,0.8642041,2
pairwise_timescale_density,0.7947986,3
lifetime_two_edges,0.7850651,4
12_swa,0.5485352,5
lifetime_one_edge,0.53999233,6
0_swa,0.5104276,7
18_swh,0.44842455,8
timescale_density_balance,0.43446627,9
14_swa,0.39825487,10
5_swh,0.35979238,11
degree_balance,0.3111333,12
19_swg,0.3033437,13
4_swa,0.28602862,14
16_swa,0.26400787,15
weight_balance,0.20583506,16
4_swg,0.18630649,17
hcn,0.16236809,18
2_swa,0.14996551,19
