dataset,performance
email-Enron,1.612
NDC-classes,0.811
NDC-substances,3.951
contact-primary-school,5.158
contact-high-school,3.072
coauth-MAG-History,9.095
threads-ask-ubuntu,33.519
tags-ask-ubuntu,9.292
coauth-MAG-Geology,-1
tags-math-sx,-1
