feature_name,mean_abs_shap,rank
10_swg,0.05710925623788179,1
10_swa,0.04959819214870793,2
23_swa,0.04287708947138177,3
12_swa,0.03760533266478506,4
23_swh,0.011912543228353518,5
10_swh,0.011097503080204872,6
18_swh,0.010548418071787444,7
11_swa,0.009458985071501709,8
23_swg,0.008994394495016855,9
21_swg,0.007715766185772565,10
19_swg,0.007605604679889983,11
24_swg,0.007255312949111627,12
6_swa,0.007085710042501348,13
24_swa,0.006917605599413234,14
21_swh,0.00679753998668828,15
22_swh,0.006748818378006585,16
9_swa,0.005614155181154838,17
18_swg,0.004972987118635906,18
4_swa,0.004954179554242703,19
7_swa,0.004922434176390306,20
6_swh,0.004745603360764777,21
22_swg,0.004532012723918376,22
9_swh,0.0044472558594146954,23
12_swg,0.004304232224465325,24
3_swa,0.004249801425005995,25
14_swg,0.004156858650242266,26
13_swa,0.004097457547381351,27
11_swg,0.0038241086664135217,28
0_swa,0.0037594808097286326,29
15_swa,0.0037152323644151605,30
4_swg,0.0036559948474075774,31
14_swa,0.0035415697351658913,32
24_swh,0.003540651381376339,33
0_swg,0.003322403357610065,34
8_swa,0.003312966901104577,35
19_swh,0.0031574726119593223,36
3_swh,0.0031223619322827034,37
14_swh,0.0030864240019692507,38
0_swh,0.003068262776179484,39
21_swa,0.003052700564509781,40
5_swh,0.002904660590060859,41
20_swa,0.002901786022753192,42
9_swg,0.002678950055463527,43
17_swg,0.0026404137342787093,44
13_swg,0.002611558829832425,45
16_swg,0.002591659505058666,46
11_swh,0.002588097549108549,47
2_swg,0.0025651242160006577,48
19_swa,0.0025437942808885423,49
2_swa,0.00251824187080412,50
22_swa,0.002506475989375108,51
2_swh,0.0024430923024439588,52
13_swh,0.002361192859310867,53
4_swh,0.0022277203909372863,54
15_swh,0.0021781512325785425,55
15_swg,0.0021612609264051253,56
7_swh,0.002156422200929434,57
3_swg,0.0021496193532347606,58
5_swa,0.002145906832152391,59
16_swa,0.00204268259444172,60
16_swh,0.0020252152977161225,61
1_swh,0.002008308943047251,62
6_swg,0.0018420717773198684,63
12_swh,0.001807083302243912,64
7_swg,0.0017182526940726173,65
18_swa,0.0016906797973309394,66
5_swg,0.0016659666924930044,67
1_swa,0.0015928392317529837,68
17_swh,0.0012038840504712493,69
8_swh,0.001147466502626537,70
17_swa,0.0011401407369714552,71
8_swg,0.0010670372682774958,72
1_swg,0.0007483734985846928,73
20_swh,0.0006015102722461892,74
20_swg,0.0005917849936485376,75
