feature_name,mean_abs_shap,rank
10_swa,0.46114397,1
10_swg,0.4529189,2
12_swa,0.45262247,3
18_swh,0.41993207,4
22_swh,0.3985686,5
23_swa,0.37638253,6
degree_balance,0.37096426,7
lifetime_two_edges,0.36425835,8
13_swh,0.29906848,9
21_swh,0.28847715,10
degree_reinforcement,0.2762712,11
14_swg,0.25583556,12
21_swa,0.2450417,13
9_swh,0.23928408,14
12_swg,0.23707312,15
4_swg,0.21107931,16
23_swg,0.20995542,17
24_swh,0.20531332,18
3_swh,0.20240393,19
24_swa,0.19443402,20
19_swg,0.19379236,21
6_swa,0.1816575,22
11_swa,0.17576349,23
2_swh,0.16855119,24
16_swh,0.1645633,25
weight_reinforcement,0.15916137,26
6_swh,0.15203045,27
5_swh,0.15173271,28
5_swg,0.1426171,29
15_swa,0.13948631,30
11_swh,0.12588301,31
8_swh,0.12537019,32
hcn,0.12278543,33
22_swg,0.116895236,34
timescale_density_balance,0.1151735,35
lifetime_one_edge,0.107952364,36
9_swa,0.10721769,37
2_swg,0.106898,38
17_swh,0.10657724,39
21_swg,0.097493574,40
5_swa,0.09655983,41
0_swh,0.095178425,42
7_swa,0.088383466,43
weight_balance,0.08419335,44
23_swh,0.08132273,45
13_swg,0.080937155,46
12_swh,0.07856887,47
4_swa,0.07715057,48
15_swh,0.0746532,49
15_swg,0.07210407,50
18_swa,0.07140709,51
19_swh,0.07035616,52
3_swg,0.06383902,53
14_swa,0.05959416,54
16_swa,0.057003863,55
1_swh,0.056866992,56
17_swa,0.05608952,57
8_swa,0.053828817,58
24_swg,0.0535051,59
7_swh,0.049087334,60
17_swg,0.047273666,61
9_swg,0.04163591,62
0_swg,0.039158788,63
6_swg,0.038451597,64
1_swg,0.038159985,65
20_swa,0.038085673,66
14_swh,0.037423942,67
18_swg,0.03519096,68
7_swg,0.03400022,69
3_swa,0.0,70
2_swa,0.0,71
10_swh,0.0,72
0_swa,0.0,73
13_swa,0.0,74
20_swh,0.0,75
8_swg,0.0,76
16_swg,0.0,77
19_swa,0.0,78
pairwise_timescale_density,0.0,79
22_swa,0.0,80
11_swg,0.0,81
4_swh,0.0,82
1_swa,0.0,83
20_swg,0.0,84
